comprobante,fecha,modo,canasta_visible,producto_oculto,top5,acierto,precision5,recall5
B001-000348,2026-05-30,ML_COMPLETO,ELE-003|ELE-004|ELE-008,ELE-001,ELE-001|HER-005|HER-003|FER-001|ELE-007,1,0.2,1.0
B001-000349,2026-05-31,CONV,CON-002,CON-003,CON-001|ALA-001|CLO-001|CLO-002|CON-004,0,0.0,0.0
B001-000349,2026-05-31,ML_REGLAS,CON-002,CON-003,CON-004|CON-001|CON-003|ALA-001|CLO-001,1,0.2,1.0
B001-000349,2026-05-31,ML_COMPLETO,CON-002,CON-003,CON-004|CLO-001|CON-003|CON-001|CLO-002,1,0.2,1.0
B001-000350,2026-05-31,CONV,HER-003|HER-005,FER-005,HER-001|HER-006|HER-004|HER-013|HER-002,0,0.0,0.0
B001-000350,2026-05-31,ML_REGLAS,HER-003|HER-005,FER-005,FER-005|ELE-007|ELE-004|HER-006|FER-006,1,0.2,1.0
B001-000350,2026-05-31,ML_COMPLETO,HER-003|HER-005,FER-005,FER-005|ELE-005|ELE-004|HER-006|ELE-007,1,0.2,1.0
B001-000351,2026-05-31,CONV,CON-001|FIE-001|FIE-003|HER-001,CLO-001,HER-005|HER-003|ALA-001|CLO-001|CLO-002,1,0.2,1.0
B001-000351,2026-05-31,ML_REGLAS,CON-001|FIE-001|FIE-003|HER-001,CLO-001,CLO-001|ALA-001|CLO-002|CON-002|CON-003,1,0.2,1.0
B001-000351,2026-05-31,ML_COMPLETO,CON-001|FIE-001|FIE-003|HER-001,CLO-001,CLO-001|ALA-001|CLO-002|FIE-002|HER-005,1,0.2,1.0
B001-000352,2026-06-01,CONV,FIE-001|FIE-003|HER-013,CON-001,CON-001|HER-001|HER-005|HER-003|ALA-001,1,0.2,1.0
B001-000352,2026-06-01,ML_REGLAS,FIE-001|FIE-003|HER-013,CON-001,CON-001|FER-005|CLO-001|HER-001|FER-006,1,0.2,1.0
B001-000352,2026-06-01,ML_COMPLETO,FIE-001|FIE-003|HER-013,CON-001,CON-001|CLO-001|FER-005|FER-006|HER-006,1,0.2,1.0
B001-000353,2026-06-01,CONV,HER-005|HER-013,FER-005,HER-001|HER-003|HER-006|HER-004|HER-002,0,0.0,0.0
B001-000353,2026-06-01,ML_REGLAS,HER-005|HER-013,FER-005,FER-005|FER-006|FER-004|HER-006|ALA-001,1,0.2,1.0
B001-000353,2026-06-01,ML_COMPLETO,HER-005|HER-013,FER-005,FER-005|HER-006|FER-006|FER-004|CLO-001,1,0.2,1.0
B001-000354,2026-06-02,CONV,PIN-007|PIN-010,PIN-002,PIN-002|HER-011|PIN-001|HER-012|PIN-008,1,0.2,1.0
B001-000354,2026-06-02,ML_REGLAS,PIN-007|PIN-010,PIN-002,PIN-002|FER-003|HER-011|PIN-008|LIJ-001,1,0.2,1.0
B001-000354,2026-06-02,ML_COMPLETO,PIN-007|PIN-010,PIN-002,PIN-001|PIN-002|FER-003|LIJ-001|HER-011,1,0.2,1.0
B001-000355,2026-06-02,CONV,CLO-002|HER-001,HER-005,CON-001|HER-005|HER-003|ALA-001|CLO-001,1,0.2,1.0
B001-000355,2026-06-02,ML_REGLAS,CLO-002|HER-001,HER-005,ALA-001|HER-005|CLO-001|CON-001|HER-003,1,0.2,1.0
B001-000355,2026-06-02,ML_COMPLETO,CLO-002|HER-001,HER-005,ALA-001|CON-001|HER-005|HER-006|PIN-004,1,0.2,1.0
B001-000356,2026-06-03,CONV,FER-004|FER-005,FER-006,FER-003|FER-006|FER-001|FER-007|FER-002,1,0.2,1.0
B001-000356,2026-06-03,ML_REGLAS,FER-004|FER-005,FER-006,HER-013|HER-005|FER-006|HER-003|HER-006,1,0.2,1.0
B001-000356,2026-06-03,ML_COMPLETO,FER-004|FER-005,FER-006,HER-005|HER-013|HER-006|HER-003|FER-006,1,0.2,1.0
B001-000357,2026-06-03,CONV,ELE-005|HER-003|HER-004,CLO-001,ELE-004|HER-001|HER-005|ELE-001|ELE-008,0,0.0,0.0
B001-000357,2026-06-03,ML_REGLAS,ELE-005|HER-003|HER-004,CLO-001,ELE-007|ELE-001|ELE-010|FER-005|ELE-004,0,0.0,0.0
B001-000357,2026-06-03,ML_COMPLETO,ELE-005|HER-003|HER-004,CLO-001,ELE-007|ELE-001|ELE-004|ELE-010|FER-005,0,0.0,0.0
B001-000358,2026-06-03,CONV,FER-005|HER-003|HER-012|PIN-002,TUB-002,HER-001|HER-005|HER-011|FER-003|PIN-001,0,0.0,0.0
B001-000358,2026-06-03,ML_REGLAS,FER-005|HER-003|HER-012|PIN-002,TUB-002,FER-006|FER-004|HER-006|HER-011|HER-013,0,0.0,0.0
B001-000358,2026-06-03,ML_COMPLETO,FER-005|HER-003|HER-012|PIN-002,TUB-002,FER-006|HER-005|HER-011|PIN-010|PIN-008,0,0.0,0.0
B001-000359,2026-06-04,CONV,FER-005|HER-003,ELE-005,HER-001|HER-005|FER-003|FER-006|HER-006,0,0.0,0.0
B001-000359,2026-06-04,ML_REGLAS,FER-005|HER-003,ELE-005,FER-006|FER-004|HER-006|HER-013|HER-005,0,0.0,0.0
B001-000359,2026-06-04,ML_COMPLETO,FER-005|HER-003,ELE-005,FER-006|HER-005|FER-004|ELE-004|HER-013,0,0.0,0.0
B001-000360,2026-06-04,CONV,ACC-002|ELE-003|ELE-008|TUB-001,VAL-001,ELE-004|ELE-005|ELE-001|VAL-001|ACC-004,1,0.2,1.0
B001-000360,2026-06-04,ML_REGLAS,ACC-002|ELE-003|ELE-008|TUB-001,VAL-001,ELE-004|ELE-001|VAL-001|VAL-002|ACC-001,1,0.2,1.0
B001-000360,2026-06-04,ML_COMPLETO,ACC-002|ELE-003|ELE-008|TUB-001,VAL-001,ELE-004|VAL-001|VAL-002|LAV-001|ACC-004,1,0.2,1.0
B001-000361,2026-06-05,CONV,ALA-001|CON-001|FIE-001,FIE-002,CLO-001|CLO-002|CON-002|CON-004|CON-003,0,0.0,0.0
B001-000361,2026-06-05,ML_REGLAS,ALA-001|CON-001|FIE-001,FIE-002,CLO-001|HER-001|CLO-002|HER-005|CON-002,0,0.0,0.0
B001-000361,2026-06-05,ML_COMPLETO,ALA-001|CON-001|FIE-001,FIE-002,HER-001|CLO-001|CLO-002|FIE-003|HER-005,0,0.0,0.0
B001-000362,2026-06-05,CONV,PIN-002,HER-012,HER-011|PIN-001|PIN-007|HER-012|PIN-008,1,0.2,1.0
B001-000362,2026-06-05,ML_REGLAS,PIN-002,HER-012,HER-011|HER-012|PIN-007|PIN-010|PIN-008,1,0.2,1.0
B001-000362,2026-06-05,ML_COMPLETO,PIN-002,HER-012,HER-011|HER-012|LIJ-001|PIN-007|FER-003,1,0.2,1.0
B001-000363,2026-06-06,CONV,LIJ-001|PIN-010,PIN-002,PIN-002|HER-011|PIN-001|PIN-007|HER-012,1,0.2,1.0
B001-000363,2026-06-06,ML_REGLAS,LIJ-001|PIN-010,PIN-002,PIN-002|FER-003|HER-011|PIN-001|PIN-007,1,0.2,1.0
B001-000363,2026-06-06,ML_COMPLETO,LIJ-001|PIN-010,PIN-002,PIN-001|PIN-002|PIN-007|FER-003|PIN-008,1,0.2,1.0
B001-000364,2026-06-06,CONV,FER-003|HER-012|PIN-002|PIN-008,PIN-010,FER-005|HER-011|PIN-001|FER-006|PIN-007,0,0.0,0.0
B001-000364,2026-06-06,ML_REGLAS,FER-003|HER-012|PIN-002|PIN-008,PIN-010,HER-011|PIN-010|PIN-007|LIJ-002|PIN-009,1,0.2,1.0
B001-000364,2026-06-06,ML_COMPLETO,FER-003|HER-012|PIN-002|PIN-008,PIN-010,HER-011|PIN-010|PIN-007|LIJ-001|FER-006,1,0.2,1.0
B001-000365,2026-06-06,CONV,FER-003|HER-011|HER-013|IFO-001|PIN-002|PIN-010|VAL-001,LIJ-001,TUB-001|HER-001|HER-005|FER-005|HER-003,0,0.0,0.0
B001-000365,2026-06-06,ML_REGLAS,FER-003|HER-011|HER-013|IFO-001|PIN-002|PIN-010|VAL-001,LIJ-001,FER-005|ACC-001|FER-006|FER-004|HER-006,0,0.0,0.0
B001-000365,2026-06-06,ML_COMPLETO,FER-003|HER-011|HER-013|IFO-001|PIN-002|PIN-010|VAL-001,LIJ-001,ACC-001|TUB-001|PIN-008|PIN-007|FER-006,0,0.0,0.0
B001-000366,2026-06-07,CONV,HER-003|PIN-001,ELE-005,HER-001|HER-005|PIN-002|HER-011|HER-006,0,0.0,0.0
B001-000366,2026-06-07,ML_REGLAS,HER-003|PIN-001,ELE-005,LIJ-001|FER-005|PIN-007|ELE-007|ELE-004,0,0.0,0.0
B001-000366,2026-06-07,ML_COMPLETO,HER-003|PIN-001,ELE-005,FER-005|HER-012|ELE-005|ELE-001|PIN-008,1,0.2,1.0
B001-000367,2026-06-07,CONV,HER-003,ELE-005,HER-001|HER-005|HER-006|HER-004|HER-013,0,0.0,0.0
B001-000367,2026-06-07,ML_REGLAS,HER-003,ELE-005,FER-005|ELE-007|ELE-004|FER-006|ELE-001,0,0.0,0.0
B001-000367,2026-06-07,ML_COMPLETO,HER-003,ELE-005,ELE-005|FER-005|ELE-004|ELE-009|ELE-007,1,0.2,1.0
B001-000368,2026-06-08,CONV,CON-001|HER-008|TUB-001,VAL-001,HER-001|HER-005|HER-003|ALA-001|CLO-001,0,0.0,0.0
B001-000368,2026-06-08,ML_REGLAS,CON-001|HER-008|TUB-001,VAL-001,ACC-001|VAL-002|VAL-001|FIE-001|ACC-002,1,0.2,1.0
B001-000368,2026-06-08,ML_COMPLETO,CON-001|HER-008|TUB-001,VAL-001,VAL-002|ACC-001|ACC-004|VAL-001|FIE-001,1,0.2,1.0
B001-000369,2026-06-08,CONV,ACC-003|TUB-004,FER-006,TUB-001|VAL-001|ACC-004|ACC-001|VAL-002,0,0.0,0.0
B001-000369,2026-06-08,ML_REGLAS,ACC-003|TUB-004,FER-006,TUB-003|TUB-001|VAL-001|ACC-004|ACC-001,0,0.0,0.0
B001-000369,2026-06-08,ML_COMPLETO,ACC-003|TUB-004,FER-006,HER-008|TUB-003|ACC-004|PIN-005|IFO-001,0,0.0,0.0
B001-000370,2026-06-09,CONV,ALA-001|CLO-002|HER-005,HER-001,CON-001|HER-001|HER-003|CLO-001|CON-002,1,0.2,1.0
B001-000370,2026-06-09,ML_REGLAS,ALA-001|CLO-002|HER-005,HER-001,CLO-001|HER-001|FER-005|CON-001|HER-006,1,0.2,1.0
B001-000370,2026-06-09,ML_COMPLETO,ALA-001|CLO-002|HER-005,HER-001,HER-001|CON-001|CLO-001|HER-004|FER-007,1,0.2,1.0
B001-000371,2026-06-09,CONV,IFO-001|TUB-001,ACC-002,VAL-001|ACC-004|ACC-001|VAL-002|LAV-001,0,0.0,0.0
B001-000371,2026-06-09,ML_REGLAS,IFO-001|TUB-001,ACC-002,ACC-001|VAL-002|VAL-001|ACC-002|ACC-004,1,0.2,1.0
B001-000371,2026-06-09,ML_COMPLETO,IFO-001|TUB-001,ACC-002,ACC-001|VAL-002|ACC-004|FER-001|ACC-002,1,0.2,1.0
B001-000372,2026-06-09,CONV,ACC-003|CLO-002|HER-001|HER-008|TUB-003,ACC-004,TUB-001|CON-001|HER-005|HER-003|ALA-001,0,0.0,0.0
B001-000372,2026-06-09,ML_REGLAS,ACC-003|CLO-002|HER-001|HER-008|TUB-003,ACC-004,ACC-001|TUB-001|ALA-001|VAL-002|ACC-004,1,0.2,1.0
B001-000372,2026-06-09,ML_COMPLETO,ACC-003|CLO-002|HER-001|HER-008|TUB-003,ACC-004,ALA-001|CON-001|ACC-004|PIN-004|HER-005,1,0.2,1.0
B001-000373,2026-06-10,CONV,PIN-001|TUB-001|VAL-002,VAL-001,PIN-002|VAL-001|HER-011|ACC-004|ACC-001,1,0.2,1.0
B001-000373,2026-06-10,ML_REGLAS,PIN-001|TUB-001|VAL-002,VAL-001,LIJ-001|VAL-001|HER-008|ACC-001|ACC-004,1,0.2,1.0
B001-000373,2026-06-10,ML_COMPLETO,PIN-001|TUB-001|VAL-002,VAL-001,VAL-001|ACC-004|HER-011|LAV-001|ACC-001,1,0.2,1.0
B001-000374,2026-06-10,CONV,HER-001,CLO-001,HER-005|HER-003|HER-006|HER-004|HER-013,0,0.0,0.0
B001-000374,2026-06-10,ML_REGLAS,HER-001,CLO-001,CLO-002|CLO-001|ALA-001|CON-001|HER-005,1,0.2,1.0
B001-000374,2026-06-10,ML_COMPLETO,HER-001,CLO-001,CLO-001|CLO-002|HER-006|CON-001|HER-012,1,0.2,1.0
B001-000375,2026-06-11,CONV,TUB-001|VAL-001,ACC-004,ACC-004|ACC-001|VAL-002|LAV-001|ACC-002,1,0.2,1.0
B001-000375,2026-06-11,ML_REGLAS,TUB-001|VAL-001,ACC-004,ACC-004|ACC-002|VAL-002|ACC-001|LAV-001,1,0.2,1.0
B001-000375,2026-06-11,ML_COMPLETO,TUB-001|VAL-001,ACC-004,ACC-004|ACC-001|ACC-002|VAL-002|LAV-001,1,0.2,1.0
B001-000376,2026-06-11,CONV,ELE-001|ELE-005|HER-002|HER-004,HER-003,ELE-004|HER-001|HER-005|HER-003|ELE-008,1,0.2,1.0
B001-000376,2026-06-11,ML_REGLAS,ELE-001|ELE-005|HER-002|HER-004,HER-003,ELE-007|HER-003|ELE-004|ELE-010|ELE-003,1,0.2,1.0
B001-000376,2026-06-11,ML_COMPLETO,ELE-001|ELE-005|HER-002|HER-004,HER-003,ELE-007|ELE-004|HER-003|ELE-010|ELE-009,1,0.2,1.0
B001-000377,2026-06-12,CONV,CLO-001|CON-001|FIE-002|FIE-003,ALA-001,ALA-001|CLO-002|CON-002|CON-004|CON-003,1,0.2,1.0
B001-000377,2026-06-12,ML_REGLAS,CLO-001|CON-001|FIE-002|FIE-003,ALA-001,FIE-001|ALA-001|HER-001|HER-005|CON-002,1,0.2,1.0
B001-000377,2026-06-12,ML_COMPLETO,CLO-001|CON-001|FIE-002|FIE-003,ALA-001,HER-001|ALA-001|CON-004|HER-002|HER-005,1,0.2,1.0
B001-000378,2026-06-12,CONV,CLO-001|CON-001|HER-005,FER-005,HER-001|HER-003|ALA-001|CLO-002|CON-002,0,0.0,0.0
B001-000378,2026-06-12,ML_REGLAS,CLO-001|CON-001|HER-005,FER-005,FIE-001|ALA-001|HER-001|FER-005|HER-006,1,0.2,1.0
B001-000378,2026-06-12,ML_COMPLETO,CLO-001|CON-001|HER-005,FER-005,ALA-001|FIE-001|HER-001|CON-004|FIE-002,0,0.0,0.0
B001-000379,2026-06-12,CONV,ELE-004,ELE-008,ELE-005|ELE-001|ELE-008|ELE-007|ELE-010,1,0.2,1.0
B001-000379,2026-06-12,ML_REGLAS,ELE-004,ELE-008,ELE-003|ELE-008|ELE-001|HER-003|ELE-007,1,0.2,1.0
B001-000379,2026-06-12,ML_COMPLETO,ELE-004,ELE-008,ELE-001|ELE-007|ELE-010|ELE-008|HER-004,1,0.2,1.0
B001-000380,2026-06-13,CONV,HER-011|HER-012|LIJ-001|PIN-001,PIN-008,PIN-002|PIN-007|PIN-008|PIN-010|LIJ-002,1,0.2,1.0
B001-000380,2026-06-13,ML_REGLAS,HER-011|HER-012|LIJ-001|PIN-001,PIN-008,PIN-002|PIN-007|FER-003|PIN-010|PIN-008,1,0.2,1.0
B001-000380,2026-06-13,ML_COMPLETO,HER-011|HER-012|LIJ-001|PIN-001,PIN-008,PIN-007|PIN-008|PIN-002|FER-003|PIN-010,1,0.2,1.0
B001-000381,2026-06-13,CONV,ELE-007|FER-003|LIJ-001|PIN-002,HER-011,ELE-004|ELE-005|FER-005|ELE-001|HER-011,1,0.2,1.0
B001-000381,2026-06-13,ML_REGLAS,ELE-007|FER-003|LIJ-001|PIN-002,HER-011,HER-011|PIN-010|PIN-001|PIN-007|ELE-005,1,0.2,1.0
B001-000381,2026-06-13,ML_COMPLETO,ELE-007|FER-003|LIJ-001|PIN-002,HER-011,PIN-010|HER-011|ELE-005|PIN-007|PIN-008,1,0.2,1.0
B001-000382,2026-06-14,CONV,CLO-001|CON-001|ELE-003|FIE-001,ALA-001,ELE-004|ELE-005|ALA-001|ELE-001|CLO-002,1,0.2,1.0
B001-000382,2026-06-14,ML_REGLAS,CLO-001|CON-001|ELE-003|FIE-001,ALA-001,ELE-004|ELE-008|ELE-001|HER-001|ALA-001,1,0.2,1.0
B001-000382,2026-06-14,ML_COMPLETO,CLO-001|CON-001|ELE-003|FIE-001,ALA-001,ALA-001|FIE-002|HER-005|HER-001|CON-004,1,0.2,1.0
B001-000383,2026-06-14,CONV,CLO-001|CLO-002|CON-001,HER-012,ALA-001|CON-002|CON-004|CON-003|FIE-001,0,0.0,0.0
B001-000383,2026-06-14,ML_REGLAS,CLO-001|CLO-002|CON-001,HER-012,FIE-001|ALA-001|HER-001|HER-005|CON-002,0,0.0,0.0
B001-000383,2026-06-14,ML_COMPLETO,CLO-001|CLO-002|CON-001,HER-012,HER-001|ALA-001|FIE-001|FIE-003|HER-005,0,0.0,0.0
B001-000384,2026-06-15,CONV,ELE-005|FER-004|HER-004,ELE-001,ELE-004|HER-001|HER-005|FER-005|HER-003,0,0.0,0.0
B001-000384,2026-06-15,ML_REGLAS,ELE-005|FER-004|HER-004,ELE-001,FER-005|HER-013|HER-005|ELE-010|ELE-007,0,0.0,0.0
B001-000384,2026-06-15,ML_COMPLETO,ELE-005|FER-004|HER-004,ELE-001,FER-005|HER-005|ELE-007|HER-003|HER-002,0,0.0,0.0
B001-000385,2026-06-15,CONV,FER-001,LAV-001,FER-005|FER-003|FER-006|FER-004|FER-007,0,0.0,0.0
B001-000385,2026-06-15,ML_REGLAS,FER-001,LAV-001,LAV-001|TUB-001|FER-005|FER-003|FER-006,1,0.2,1.0
B001-000385,2026-06-15,ML_COMPLETO,FER-001,LAV-001,TUB-001|LAV-001|VAL-002|IFO-001|ELE-004,1,0.2,1.0
B001-000386,2026-06-15,CONV,ELE-005|ELE-007|HER-002,ELE-001,ELE-004|HER-001|HER-005|HER-003|ELE-001,1,0.2,1.0
B001-000386,2026-06-15,ML_REGLAS,ELE-005|ELE-007|HER-002,ELE-001,HER-003|ELE-004|ELE-010|ELE-001|ELE-009,1,0.2,1.0
B001-000386,2026-06-15,ML_COMPLETO,ELE-005|ELE-007|HER-002,ELE-001,ELE-004|ELE-001|ELE-010|HER-003|HER-004,1,0.2,1.0
B001-000387,2026-06-16,CONV,PIN-002,PIN-007,HER-011|PIN-001|PIN-007|HER-012|PIN-008,1,0.2,1.0
B001-000387,2026-06-16,ML_REGLAS,PIN-002,PIN-007,HER-011|HER-012|PIN-007|PIN-010|PIN-008,1,0.2,1.0
B001-000387,2026-06-16,ML_COMPLETO,PIN-002,PIN-007,HER-011|HER-012|LIJ-001|PIN-007|FER-003,1,0.2,1.0
B001-000388,2026-06-16,CONV,CON-001|FIE-001|FIE-003,FIE-002,ALA-001|CLO-001|CLO-002|CON-002|CON-004,0,0.0,0.0
B001-000388,2026-06-16,ML_REGLAS,CON-001|FIE-001|FIE-003,FIE-002,CLO-001|HER-001|ALA-001|CON-002|CON-003,0,0.0,0.0
B001-000388,2026-06-16,ML_COMPLETO,CON-001|FIE-001|FIE-003,FIE-002,HER-001|CLO-002|CLO-001|FIE-002|ALA-001,1,0.2,1.0
B001-000389,2026-06-17,CONV,CON-001|CON-002,TUB-004,ALA-001|CLO-001|CLO-002|CON-004|CON-003,0,0.0,0.0
B001-000389,2026-06-17,ML_REGLAS,CON-001|CON-002,TUB-004,CON-003|CON-004|FIE-001|ALA-001|CLO-002,0,0.0,0.0
B001-000389,2026-06-17,ML_COMPLETO,CON-001|CON-002,TUB-004,CON-004|CON-003|FIE-001|CLO-002|HER-001,0,0.0,0.0
B001-000390,2026-06-17,CONV,CLO-002|HER-011|PIN-001,HER-001,CON-001|PIN-002|ALA-001|CLO-001|CON-002,0,0.0,0.0
B001-000390,2026-06-17,ML_REGLAS,CLO-002|HER-011|PIN-001,HER-001,PIN-002|ALA-001|FER-003|LIJ-001|PIN-010,0,0.0,0.0
B001-000390,2026-06-17,ML_COMPLETO,CLO-002|HER-011|PIN-001,HER-001,ALA-001|HER-001|PIN-008|HER-012|LIJ-001,1,0.2,1.0
B001-000391,2026-06-18,CONV,CON-002|CON-004,ELE-006,CON-001|ALA-001|CLO-001|CLO-002|CON-003,0,0.0,0.0
B001-000391,2026-06-18,ML_REGLAS,CON-002|CON-004,ELE-006,CON-001|CON-003|ALA-001|CLO-001|CLO-002,0,0.0,0.0
B001-000391,2026-06-18,ML_COMPLETO,CON-002|CON-004,ELE-006,CON-003|CON-001|CLO-001|ELE-005|TUB-001,0,0.0,0.0
B001-000392,2026-06-18,CONV,ELE-007|FER-005|HER-003|HER-005|HER-006,ELE-005,ELE-004|ELE-005|HER-001|ELE-001|FER-003,1,0.2,1.0
B001-000392,2026-06-18,ML_REGLAS,ELE-007|FER-005|HER-003|HER-005|HER-006,ELE-005,HER-013|FER-006|FER-004|ELE-004|ELE-005,1,0.2,1.0
B001-000392,2026-06-18,ML_COMPLETO,ELE-007|FER-005|HER-003|HER-005|HER-006,ELE-005,ELE-005|HER-013|ELE-004|FER-006|FER-004,1,0.2,1.0
B001-000393,2026-06-18,CONV,ELE-005|ELE-009|HER-004,ELE-001,ELE-004|HER-001|HER-005|HER-003|ELE-001,1,0.2,1.0
B001-000393,2026-06-18,ML_REGLAS,ELE-005|ELE-009|HER-004,ELE-001,ELE-010|ELE-004|HER-003|ELE-007|ELE-001,1,0.2,1.0
B001-000393,2026-06-18,ML_COMPLETO,ELE-005|ELE-009|HER-004,ELE-001,ELE-010|ELE-007|ELE-001|HER-003|HER-002,1,0.2,1.0
B001-000394,2026-06-19,CONV,ELE-001|ELE-004|ELE-008|FER-007,ELE-003,ELE-005|FER-005|FER-003|FER-006|ELE-007,0,0.0,0.0
B001-000394,2026-06-19,ML_REGLAS,ELE-001|ELE-004|ELE-008|FER-007,ELE-003,ELE-003|ELE-005|HER-003|ELE-007|HER-002,1,0.2,1.0
B001-000394,2026-06-19,ML_COMPLETO,ELE-001|ELE-004|ELE-008|FER-007,ELE-003,ELE-003|ELE-005|HER-005|HER-004|HER-003,1,0.2,1.0
B001-000395,2026-06-19,CONV,HER-008|HER-011|PIN-010|TUB-001,PIN-002,HER-001|HER-005|PIN-002|HER-003|VAL-001,1,0.2,1.0
B001-000395,2026-06-19,ML_REGLAS,HER-008|HER-011|PIN-010|TUB-001,PIN-002,FER-003|PIN-002|ACC-001|VAL-002|PIN-008,1,0.2,1.0
B001-000395,2026-06-19,ML_COMPLETO,HER-008|HER-011|PIN-010|TUB-001,PIN-002,PIN-002|ACC-001|FER-003|VAL-002|ACC-002,1,0.2,1.0
B001-000396,2026-06-20,CONV,ELE-010,ELE-004,ELE-004|ELE-005|ELE-001|ELE-008|ELE-007,1,0.2,1.0
B001-000396,2026-06-20,ML_REGLAS,ELE-010,ELE-004,ELE-005|ELE-009|ELE-007|ELE-004|ELE-001,1,0.2,1.0
B001-000396,2026-06-20,ML_COMPLETO,ELE-010,ELE-004,ELE-005|ELE-004|ELE-009|ELE-001|PIN-001,1,0.2,1.0
